MATRIC,REC,TUT,Notes
A0307821J,R03,T50,
A0307824A,R03,T15,
A0307826Y,R19,T61,
A0307853Y,R02,T21,
A0307856U,R10,T18,
A0307863X,R04,T29,
A0307864W,R12,T24,
A0307869L,R17,T11,
A0307870B,R04,T54,
A0307871Y,R13,T34,
A0307874U,R20,T38,
A0307885N,R11,T60,
A0307889H,R02,T35,
A0307897J,R22,T01,R17 swap clash MA1521 L1
A0307910L,R21,T50,
A0307912H,R21,T63,
A0307915B,R10,T22,
A0307917X,R13,T12,
A0307920J,R12,T26,
A0307922E,R12,T62,
A0307923A,R10,T53,
A0307927W,R12,T63,
A0307929R,R05,T52,
A0307933B,R09,T20,
A0307947R,R07,T64,
A0307949M,R19,T45,
A0307954W,R21,T47,
A0307958M,R13,T05,
A0307960B,R05,T58,
A0307966N,R05,T43,
A0307970Y,R18,T56,
A0307971X,R05,T58,
A0307974R,R04,T02,
A0307978J,R03,T60,
A0307986L,R09,T39,
A0307988H,R06,T41,
A0307992R,R04,T21,
A0307998E,R11,T55,
A0308012X,R14,T19,
A0308021X,R21,T56,
A0308026M,R08,T44,
A0308045L,R21,T44,
A0308047H,R01,T35,
A0308051R,R10,T59,
A0308052N,R12,T14,
A0308053M,R05,T33,
A0308066E,R19,T32,
A0308067A,R07,T28,
A0308068B,R09,T25,
A0308072L,R13,T54,
A0308087Y,R22,T51,
A0308109J,R01,T43,
A0308114R,R21,T37,
A0308129E,R07,T35,
A0308139A,R12,T10,
A0308142N,R14,T08,
A0308144L,R16,T61,
A0308147E,R19,T01,
A0308148A,R01,T29,
A0308150R,R16,T06,
A0308151N,R21,T36,
A0308152M,R22,T54,
A0308153L,R01,T23,
A0308154J,MA1521 L1 clash + no appeal,T04,MA1521 L1 clash + no appeal
A0308165E,R01,T17,
A0308171L,R15,T25,
A0308173H,R12,T47,
A0308182H,R18,T13,
A0308183E,R08,T08,
A0308197W,R17,T38,
A0308199R,R05,T28,
A0308200Y,R07,T39,
A0308203U,R19,T09,
A0308206M,R14,T07,
A0308209H,R23,T15,
A0308216L,R19,T05,
A0308220W,R16,T53,
A0308224M,R23,T13,
A0308225L,R20,T38,
A0308231R,R02,T45,
A0308246E,R02,T14,
A0308249Y,R06,T27,
A0308251M,R02,T29,
A0308256A,R01,T49,
A0308283A,R07,T02,
A0308300X,R03,T61,
A0308305M,R21,T31,
A0308312R,R05,T57,
A0308331N,R11,T64,
A0308345E,R13,T10,
A0308351L,R20,T64,
A0308356B,R13,T26,
A0308357Y,R20,T33,
A0308370J,R21,T19,
A0308375Y,R06,T03,
A0308376X,R03,T15,
A0308380H,R06,T43,
A0308382A,R23,T14,
A0308383B,R14,T48,
A0308393Y,R19,T27,
A0308401U,R20,T62,
A0308411R,R04,T49,
A0308434H,R12,T63,
A0308436A,R12,T63,
A0308445A,R18,T04,
A0308467W,R20,T64,
A0308469R,R03,T20,
A0308506H,R11,T24,
A0308572B,R07,T30,
A0308590B,R03,T11,
A0308595R,R10,T33,
A0308630L,R23,T53,
A0308645Y,R02,T37,
A0308652A,R09,T38,
A0308656W,R17,T04,
A0308658R,R05,T32,
A0308675U,R17,T37,
A0308679L,R07,T54,
A0308685R,R15,T23,
A0308689J,R05,T32,
